Landing Page URL ID,Referrer URL,Impression ID,Asset ID,Active View: Eligible Impressions,Active View: Measurable Impressions,Active View: Viewable Impressions,Activity ID,Event Time,Event Type,Event Sub-Type,User ID,Advertiser ID
ID0,https://fr.aliexpress.com/,"impr,",1989544,1958239,320477,9064745,9021738,1643894548664,CONVERSION,5045084,USER_ID3,5117657
ID1,https://fr.aliexpress.com/,impr1,5511758,8744902,8702287,7992142,8802935,1643894548811,CONVERSION,8801001,USER_ID6,4386515
ID2,https://fr.aliexpress.com/,impr3,5174350,3261025,8283758,8767735,825208,1643894548918,NULL,8942073,USER_ID5,3678167
ID3,https://www.amazon.fr/,impr4,5253031,3590538,5791660,9862608,8189527,1643894549011,CLICK,7302941,"USER_ID,",1504279
ID4,https://shopping.google.fr/,impr1,4029646,1320105,3597962,810032,9298912,1643894549120,VIEW,3697039,USER_ID0,3137669
ID5,https://www.amazon.fr/,impr7,3638548,1812103,8814396,8836415,5808726,1643894549266,NULL,6387401,USER_ID9,9502492
ID6,https://www.amazon.fr/,impr6,1837039,5661624,9119465,7930592,8124940,1643894549403,VIEW,9591723,USER_ID2,3825065
ID7,https://fr.aliexpress.com/,impr ,1146850,8650730,5177818,3952681,6153421,1643894549520,CONVERSION,4073562,USER_ID7,4654952
ID8,https://shopping.google.fr/,impr5,6182668,6595678,3709048,324898,429438,1643894549642,CONVERSION,9746255,USER_ID7,2502755
ID9,https://shopping.google.fr/,impr1,1764965,9222381,6190450,4460796,1048438,1643894549774,CLICK,6188904,USER_ID1,9628326
ID10,https://shopping.google.fr/,impr3,169616,9893730,255382,3134412,1226091,1643894549919,CLICK,5930491,USER_ID4,3606125
ID11,https://www.amazon.fr/,impr7,4263418,4101729,640431,2317580,4483652,1643894550026,VIEW,6142199,USER_ID6,3037153
ID12,https://www.cdiscount.com/,impr ,2162119,3128129,1997093,7320681,5258529,1643894550154,VIEW,7977801,"USER_ID,",7007065
ID13,https://www.cdiscount.com/,"impr,",6878429,4354849,8583748,5448862,4176838,1643894550271,NULL,4477996,USER_ID9,1334878
ID14,https://www.amazon.fr/,impr2,1635093,2790666,372526,7934120,6276157,1643894550403,CONVERSION,1386235,USER_ID6,7184102
ID15,https://www.amazon.fr/,impr4,1513688,216238,6281814,2130942,3868269,1643894550601,CONVERSION,1601710,USER_ID ,8300568
ID16,https://www.cdiscount.com/,impr2,1941659,7812311,4128693,422066,9587629,1643894550701,CONVERSION,9042726,USER_ID3,1165647
ID17,https://shopping.google.fr/,impr3,1176950,1339464,4529630,5120895,7220588,1643894551019,VIEW,8588015,USER_ID ,3307021
ID18,https://www.cdiscount.com/,impr9,8808278,4948633,8972346,5807951,9870657,1643894551224,CLICK,6056387,USER_ID3,568953
ID19,https://www.cdiscount.com/,impr9,5763978,9260858,9500650,7203265,6592638,1643894551358,VIEW,5825712,USER_ID ,3055161
ID20,https://fr.aliexpress.com/,impr2,4480137,8439448,206688,6035766,8749844,1643894551514,VIEW,4826839,USER_ID3,123570
ID21,https://fr.aliexpress.com/,impr ,8496949,2702666,9355629,1944087,4247689,1643894551630,NULL,7096860,USER_ID0,8292599
ID22,https://www.cdiscount.com/,impr9,6243712,9996042,6129666,6866304,893520,1643894551734,CLICK,4157149,USER_ID ,7741220
ID23,https://fr.aliexpress.com/,impr2,5290945,6860574,1259605,3020890,9734201,1643894551838,CONVERSION,5149473,USER_ID5,4919048
ID24,https://shopping.google.fr/,impr5,9355594,317640,9623088,9299049,9505736,1643894551942,CLICK,7488405,USER_ID1,5714119
ID25,https://shopping.google.fr/,impr7,1392944,5758864,7325793,533850,3134331,1643894552081,CLICK,2863640,USER_ID3,3459532
ID26,https://fr.aliexpress.com/,"impr,",9468028,7880743,4549507,4941382,5171625,1643894552174,CONVERSION,1149906,USER_ID0,8572981
ID27,https://www.amazon.fr/,impr9,7323396,6016802,4107253,6748876,2929293,1643894552300,CLICK,3606830,USER_ID ,1499040
ID28,https://www.cdiscount.com/,impr6,3583824,2416391,7979347,4940660,4919596,1643894552414,NULL,8197886,"USER_ID,",6097018
ID29,https://fr.aliexpress.com/,impr ,1324267,2455178,7128274,7287892,6440162,1643894552554,NULL,6818878,USER_ID8,1157365
ID30,https://fr.aliexpress.com/,impr4,7782794,4527308,1116132,2662355,3539086,1643894552677,NULL,1769852,USER_ID2,467008
ID31,https://www.amazon.fr/,impr1,4653389,1462328,3549667,6496384,6510467,1643894552798,CONVERSION,5704016,USER_ID5,5309359
ID32,https://www.cdiscount.com/,"impr,",1564283,399303,605622,5147145,917153,1643894552900,NULL,570434,"USER_ID,",8981571
ID33,https://www.amazon.fr/,impr2,8160531,163221,3984044,735414,4983257,1643894553028,VIEW,9347943,USER_ID5,5403880
ID34,https://fr.aliexpress.com/,impr ,7183337,4781288,4015360,6425429,9118957,1643894553167,VIEW,4270190,USER_ID2,3621410
ID35,https://fr.aliexpress.com/,impr3,8340063,2265577,4532140,8110932,8748427,1643894553263,VIEW,7224323,"USER_ID,",8251724
ID36,https://shopping.google.fr/,impr6,2470036,2025447,4966519,2803671,1135047,1643894553370,VIEW,2159313,USER_ID1,9585113
ID37,https://fr.aliexpress.com/,impr6,2012667,1232504,129974,8114215,5567817,1643894553485,CONVERSION,7427593,USER_ID ,5382329
