Landing Page URL ID,Referrer URL,Impression ID,Asset ID,Active View: Eligible Impressions,Active View: Measurable Impressions,Active View: Viewable Impressions,Activity ID,Event Time,Event Type,Event Sub-Type,User ID,Advertiser ID,Campaign ID,Floodlight Configuration,Ad ID,Rendering ID,Creative Version,Site ID (DCM),Placement ID,Country Code,State/Region,Browser/Platform ID,Browser/Platform Version,Operating System ID,Designated Market Area (DMA) ID,City ID,ZIP/Postal Code,Other Data,ORD Value,Interaction Time,Conversion ID,Segment Value 1,Rich Media Event ID,Rich Media Event Type ID,Total Conversions,Total Revenue,Event Timers,Event Counters,Partner1 ID,Partner2 ID,Google Click ID
ID : 0,https://shopping.google.fr,impr :  ,7185189,3334474,2922188,3530382,1801136,1645215184835,CONVERSION,8590476,1060d0c9-9baf-4cb3-bd38-d3eaec2d1d04,4236721,1687005,1832186,501469,9693645,6028,7932216,9445759,,GA,2109367534582756,Microsoft Edge,5667292028,6606507,2082552,8459,'ProduitH':'n',ORD_value844v419,112116,1,9189003,6023963,9182400,qty=[,4653000,etm = 606969,ecn = 601441,zfakzqjsjegprco883499,zggiwexfeywtdfv427061,<option a=https://techbargains.com?fafqqxqwvgoyomn>
ID : 1,https://www.rueducommerce.fr,impr : 3,166142,7125434,794278,1449473,5836454,1645215188833,,1972649,9bbce66f-6e9a-4e1c-a5b4-583c35c705ca,2707423,3479854,115032,6210084,2463798,5359,3100836,1075372,,GA,2109367534582756,Microsoft Edge,246578965,97435,9633587,3554,'ProduitH':'8',ORD_value8113195,397917,0,2062568,5009463,9963164,qty=3,6032000,etm = 531894,ecn = 8951035,ykivxwbqwhucuxy240037,zpdjkkklkgupptj893180,<img src=https://fnac.com?wiwzmqjfpmonacu>
ID : 2,https://ebay.com,impr : 8,8814325,2073872,6948972,5897988,7320251,1645215192868,,2089359,1d20654b-7202-4ff9-b23c-4089c16e129a,185435,2691874,9959441,7337265,8661790,4049,1377223,1367010,,FL,345978365835376,Chrome,9876543098,9824503,262571,4421,'ProduitC':'f',ORD_value173R794,554568,0,9066519,1047877,7472459,qty=5,86000,etm = 275222,ecn = 7351546,khhbusrddhmgckl137573,gpumzpeatprzfit294159,<a href=https://www.amazon.com?obtkrbhnakrnkzp>
ID : 3,https://shopping.google.fr,"impr : ,",9868777,3183605,754550,7472394,6777870,1645215196683,,2301032,c084b2ee-3bec-48d6-9299-3f6b3810b9a0,1197359,3874837,5116167,6998276,7378079,2729,3728388,7295201,,TN,65784523663644,Brave,246578965,8105136,1370175,9794,'ProduitG':'N',ORD_value729U879,536027,0,6601336,5740322,3340145,qty=2,1673000,etm = 200080,ecn = 52949,nzdxcjhrctuxrnm768254,llewnjibrocxbli324157,<iframe a=https://airexpress.com?smclgtfivrkceei>
ID : 4,https://Booking.com,impr : 3,151095,2901732,962157,4253203,197454,1645215200743,,8773306,17b6424e-0fe2-4c8a-8b78-e80da3f23194,1664632,3146342,4780848,7212313,7564913,8012,7241863,6409881,,AZ,8753685264337,Mozilla Firefox,536637292,6479569,2732832,7287,'ProduitF':'v',ORD_value645J483,730833,0,7098797,7579560,8844075,qty=2,3591000,etm = 62761,ecn = 8505161,quncqlqppflfvfp47778,kbrperxnjwwclai253302,<iframe a=https://www.cdiscount.com?omuwecoeyrhajfu>
ID : 5,https://ebay.com,impr : 3,8632955,1286875,3344469,2066325,9308306,1645215204773,CONVERSION,1898871,4474c294-efa1-4f8b-9369-3d004e2dace1,9293811,4735912,6492877,2946699,616612,3889,3640756,9454128,,NJ,345978365835376,Chrome,9876543098,5999445,8354413,6191,'ProduitH':'V',ORD_value192f809,687120,2,4772672,914185,4442923,qty=8,4091000,etm = 68369,ecn = 6313125,zvdjxfwtixatjsy928715,evkqpcblwfhgqio733144,<button onclick=https://Booking.com?gbzfwltqqlsqvys>
ID : 6,https://techbargains.com,impr : 4,7642173,9749566,2812237,8363728,7162230,1645215208684,VIEW,1313357,9bbce66f-6e9a-4e1c-a5b4-583c35c705ca,2262085,8555932,4695285,5459745,7430491,7108,7817960,5740608,,MN,4534637355634,Brave,246578965,83649,1516128,4965,'ProduitG':'u',ORD_value822D211,436090,1,8240617,1574950,8253419,qty=1,9583000,etm = 672282,ecn = 3383895,ukceilfglchdvgx159891,yfeszriqpsyxirk302811,<h2 a=https://techbargains.com?pbzoinnkpgexblk>
ID : 7,https://www.rueducommerce.fr,impr : 5,9457243,884945,3681404,4415284,7479405,1645215212585,VIEW,65763,d6e35c20-8529-4fe2-8084-6d98dc466fc1,2100829,2012348,7855295,2438795,4483488,2583,883008,3085805,,NE,65784523663644,Brave,5667292028,2568415,7191638,440,'ProduitB':'v',ORD_value902U839,575125,1,7738169,8286360,2482482,qty=7,6589000,etm = 617365,ecn = 2412465,vcyebqmurckxxsi360568,wvnjcezcwuokimz884056,<h2 a=https://ebay.com?pyhshixcliznjij>
ID : 8,https://backmarcket.com,impr : 5,7587021,4925313,186986,8318300,5799556,1645215216524,CONVERSION,2857299,a646a027-62cb-4680-a220-8f6762686450,3734886,4379916,8342373,7311814,3472689,7652,424733,7626510,,SD,65784523663644,Brave,9876543098,7120543,896071,3472,'ProduitH':'q',ORD_value6851117,148543,2,9082259,9693522,7816816,qty=[,726000,etm = 947049,ecn = 7502536,tvqxzpasuvlgagm337330,lguualjdhwdijpc309358,<iframe a=https://www.oscaro.com?omblubeteutckuy>
ID : 9,https://airexpress.com,impr : 3,2295986,5908293,8283034,728150,8609422,1645215221096,CLICK,8290155,9bbce66f-6e9a-4e1c-a5b4-583c35c705ca,6321829,2264310,9972560,6748311,5591093,2999,9007854,7370684,,WA,2109367534582756,Microsoft Edge,5667292028,6444747,5179747,9588,'ProduitD':'V',ORD_value178O793,621560,2,7462877,4392847,6274402,qty=[,2294000,etm = 330162,ecn = 5340906,wokzzlubrvmubeh591749,amwrganouxosjlc111959,<nav a=https://www.oscaro.com?rmbeahahmgnytlp>
