identifiant,genre,date_naissance,region,departement,diplome,csp,revenu_mensuel,vaccination,confinement_respect,precaution,risque_declare,risque_jeu,patience,cooperation,comportement
bm9mqmro,0,1976,7,91,8,3,3,2,10,4,5,60,4,12,57.804
4qupd67g,1,1983,0,69,8,3,3,0,9,4,7,32,7,10,45
4c438wf5,1,1950,0,38,8,7,6,2,8,1,8,32,5,12,57.804
do39z85u,0,1974,7,94,6,3,6,2,9,4,3,11,0,8,57.411
mtvfk8gw,0,1977,8,14,8,3,3,2,10,4,3,30,7,10,57.804
u92obitu,1,1963,0,03,6,7,1,2,6,4,2,40,5,0,80.362
56dd2iu2,1,1966,10,81,3,3,4,2,9,4,7,24,3,4,81.469
8tie55vt,0,1990,7,77,5,3,1,2,8,4,6,32,3,10,54.856
zaiilxyk,1,1995,7,78,7,4,6,2,7,2,7,10,9,20,54.856
9q5vnzub,1,1958,1,89,3,7,2,2,10,4,4,40,2,0,54.856
rpdzkjx2,0,1984,5,08,6,2,2,0,8,3,6,22,7,10,76.809
mdwus8pg,1,1954,2,56,5,7,5,2,8,5,8,40,8,20,57.804
bp568enw,1,1980,1,71,5,4,3,2,10,4,6,20,2,0,56.766
jvv6iafs,0,1949,9,24,5,7,2,2,8,4,3,20,5,12,61.245
v0xer60n,1,1978,5,0,5,4,3,2,8,4,7,10,2,10,51.342
sfwwvt2j,0,1957,5,57,7,7,3,2,8,4,5,35,5,0,60.343
9k209k0w,0,1979,10,34,8,3,4,2,9,4,1,48,1,10,67.48
ba984ypc,0,1943,7,78,8,7,7,2,8,3,3,1,8,0,66.036
mkewywis,0,1949,10,82,6,7,1,2,10,5,5,16,5,10,60.469
x2m1sewe,1,1961,7,95,5,3,2,2,9,5,0,50,9,20,73.711
qiysvedz,1,1982,3,18,5,5,3,1,7,4,0,14,4,0,54.856
ycrr8r1m,0,1961,0,74,5,7,3,2,9,3,3,27,4,10,54.856
wd7wk5ig,2,1982,0,38,0,8,1,2,8,5,9,1,8,20,57.804
evol0mjo,0,1987,5,68,8,3,10,2,10,4,6,32,7,0,57.804
c0lalfsy,1,1976,10,30,5,2,2,2,4,4,7,32,9,20,54.856
2alo5vgi,0,1968,10,65,6,4,2,2,8,4,7,32,10,10,57.804
gkkw5in2,1,1951,7,92,8,7,0,2,9,5,6,10,8,10,49.485
5wt0k2fv,1,1959,5,51,0,7,1,2,10,4,5,48,3,20,55.944
bagjg04c,1,1951,9,0,0,7,0,2,10,5,0,3,10,0,56.977
dwfan809,0,1951,8,14,6,3,1,2,8,4,7,54,8,20,54.856
7id4z56p,1,1953,12,04,0,7,0,0,6,5,5,20,7,20,45
4xj7zzli,1,1989,12,83,2,6,2,2,8,3,5,5,9,0,33.234
k0vjqkd2,0,1981,8,61,8,3,-1,2,9,4,0,32,5,20,54.856
oryza61i,0,1961,7,93,7,3,4,2,9,4,5,20,10,10,67.618
l2wax1a7,1,1976,10,31,9,3,7,2,9,4,5,32,8,10,54.856
