participant,annee_naissance,genre,traitement,periode,revenu,declaration,declaration_pourcentage,taxe,fraude,audit_tirage,audit,penalite,gain
ph5uo6jj,1997.0,Femme,Sanction,1,59,50.0,84.75,20.0,9.0,35.0,1.0,4.5,34.5
ph5uo6jj,1997.0,Femme,Sanction,2,97,90.0,92.78,36.0,7.0,7.0,1.0,3.5,57.5
ph5uo6jj,1997.0,Femme,Sanction,3,87,87.0,100.0,34.8,0.0,99.0,0.0,0.0,52.2
ph5uo6jj,1997.0,Femme,Sanction,4,60,55.0,91.67,22.0,5.0,16.0,1.0,2.5,35.5
ph5uo6jj,1997.0,Femme,Sanction,5,20,20.0,100.0,8.0,0.0,87.0,0.0,0.0,12.0
ph5uo6jj,1997.0,Femme,Sanction,6,94,94.0,100.0,37.6,0.0,78.0,0.0,0.0,56.4
ph5uo6jj,1997.0,Femme,Sanction,7,22,20.0,90.91,8.0,2.0,3.0,1.0,1.0,13.0
ph5uo6jj,1997.0,Femme,Sanction,8,77,77.0,100.0,30.8,0.0,5.0,1.0,0.0,46.2
ph5uo6jj,1997.0,Femme,Sanction,9,36,36.0,100.0,14.4,0.0,60.0,0.0,0.0,21.6
ph5uo6jj,1997.0,Femme,Sanction,10,93,93.0,100.0,37.2,0.0,8.0,1.0,0.0,55.8
ph5uo6jj,1997.0,Femme,Sanction,11,24,24.0,100.0,9.6,0.0,87.0,0.0,0.0,14.4
ph5uo6jj,1997.0,Femme,Sanction,12,50,45.0,90.0,18.0,5.0,66.0,0.0,0.0,32.0
ph5uo6jj,1997.0,Femme,Sanction,13,37,30.0,81.08,12.0,7.0,36.0,1.0,3.5,21.5
ph5uo6jj,1997.0,Femme,Sanction,14,98,90.0,91.84,36.0,8.0,25.0,1.0,4.0,58.0
ph5uo6jj,1997.0,Femme,Sanction,15,69,65.0,94.2,26.0,4.0,69.0,0.0,0.0,43.0
69iqvow0,1997.0,Homme,Sanction,1,87,9.0,10.34,3.6,78.0,58.0,0.0,0.0,83.4
69iqvow0,1997.0,Homme,Sanction,2,63,0.0,0.0,0.0,63.0,14.0,1.0,31.5,31.5
69iqvow0,1997.0,Homme,Sanction,3,38,0.0,0.0,0.0,38.0,84.0,0.0,0.0,38.0
69iqvow0,1997.0,Homme,Sanction,4,35,0.0,0.0,0.0,35.0,84.0,0.0,0.0,35.0
69iqvow0,1997.0,Homme,Sanction,5,96,15.0,15.62,6.0,81.0,95.0,0.0,0.0,90.0
